altered_sensorium, 'Have you been experiencing altered sensorium - like feeling confused, disoriented, or unable to think clearly?'
red_spots_over_body, 'Do you have red spots over many parts of your body?'
belly_pain, 'Are you experiencing belly pain?'
abnormal_menstruation, 'Have you been experiencing unusual menstruation?'
dischromic_patches, 'Do you have patchy or red and purple patches on your skin?'
watering_from_eyes, 'Are your eyes watering more than usual?
increased_appetite, 'Have you been experiencing an increased appetite?'
polyuria, 'Are you experiencing heavy urination, or urinating more liquid that usual?'
family_history, 'Do you have a family history of chronic illnesses?'
mucoid_sputum, 'Are you coughing up mucous or phlegm?'
rusty_sputum,'Are you coughing up brown colored phlegm or mucous?'
lack_of_concentration, 'Have you been having trouble concentrating?'
visual_disturbances,'Are you experiencing visual disturbances?'
receiving_blood_transfusion,'Have you received a blood transfusion recently?'
receiving_unsterile_injections,'Have you received any injections recently in a non sterile environment?'
coma, 'Have been in a coma before?'
stomach_bleeding, 'Have you experienced stomach bleeding?'
distention_of_abdomen, 'Have you noticed a distention or swelling of your abdomen?'
history_of_alcohol_consumption, 'Do you have a history of alcohol consumption?'
fluid_overload.1, ''
blood_in_sputum,'Have you noticed blood in your sputum?'
prominent_veins_on_calf,'Do you have prominent veins on your calf?'
palpitations,'Have you been experiencing heart palpitations?'
painful_walking,'Do you experience pain when walking?'
pus_filled_pimples,'Do you have pus filled pimples?'
blackheads,'Do you have blackheads?'
scurring,'Do you have a lot scarring on the face?'
skin_peeling, 'Is your skin peeling?'
silver_like_dusting,'Do you have a silver like dusting on your skin?'
small_dents_in_nails,'Do you have small dents in your nails?'
inflammatory_nails,'Do you have inflamed nails?'
blister, 'Do you have blisters?'
red_sore_around_nose,'Do you have red sores around your nose?'
yellow_crust_ooze,'Do you have yellow crust oozing from your sores?'

