prognosis,symptoms_list,definition,urgent_appointment,Treatment, family_history_of_this, heartburn, mood_swings, shoulder_pain, sweating,abdominal_pain,acid_reflux,acidity,anxiety,back_pain,bad_breath,blackheads,bladder_discomfort,blister,bloated_abdomen,bloating,bloody_stool,blurred_distorted_vision,breathlessness,bruising,burning_urination,chest_pain,chills,cold_hands_and_feets,congestion,constipation,continuous_feel_of_urine,cough,coughing_up_blood,cramps,dark_urine,dehydration,diarrhoea,dischromic_patches,dizziness,enlarged_thyroid,excessive_urination,face_pain,family_history_of_this,fast_heart_rate,fatigue,foul_smell_of urine,headache,heartburn,high_fever,hip_joint_pain,history_of_alcohol_consumption,increased_appetite,indigestion,inflammatory_nails,internal_itching,irritability,irritation_in_anus,itching,joint_pain,knee_pain,loss_of_appetite,loss_of_balance,lymph_nodes,mild_fever,mood_swings,movement_stiffness,mucous,muscle_pain,muscle_weakness,nausea,neck_pain,obesity,pain_behind_the_eyes,pain_in anus,painful_walking,puffy_face_and_eyes,pus_filled_pimples,red_sore_around_nose,restlessness,runny_nose,scurring,silver_like_dusting,skin_peeling,skin_rash,small_dents_in_nails,sneezing,spinning_movements,spotting_urination,stiff_neck,stomach_pain,sweating,swelling_joints,swelling_of_stomach,swollen_blood_vessels,swollen_extremeties,swollen_legs,throat_irritation,tongue_ulcers,unsteadiness,veins_on_calf,visual_disturbances,vomiting,watering_eyes,weakness_in_limbs,weight_gain,weight_loss,yellow_crust_ooze,yellowing_of_eyes,yellowing_skin
Cervical spondylosis,"['back_pain', 'weakness_in_limbs', 'neck_pain', 'dizziness', 'loss_of_balance', 'stiff_neck']","Age-related wear and tear of the bones, discs, and nerves in the neck. Symptoms include neck pain, stiffness, headaches, and radiating pain to arms. Treatment focuses on pain management with physical therapy, medications, and injections. See a doctor for diagnosis and treatment plan.",0,"Physical therapy strengthens muscles and improves flexibility and in mild cases be performed at home. Medications (pain relievers, muscle relaxants) can manage pain. In severe cases, injections or surgery might be considered.",0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
Jaundice,"['itching', 'fatigue', 'vomiting', 'yellowing_skin', 'dark_urine', 'abdominal_pain']","Yellowing of the skin and whites of the eyes due to high bilirubin levels in the blood. Can be caused by liver problems, gallbladder issues, or certain infections. Symptoms can include fatigue, dark urine, and itchy skin. Treatment depends on the underlying cause. See a doctor for diagnosis and treatment.",1,"Treatment depends on the underlying cause. For liver problems, medications, lifestyle changes, or surgery might be necessary. If caused by a blocked bile duct, surgery or procedures can remove the blockage.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Malaria,"['chills', 'high_fever', 'sweating', 'nausea', 'diarrhoea', 'muscle_pain']","Mosquito-borne parasitic infection affecting red blood cells. Symptoms include fever, chills, sweating, headache, muscle aches, and fatigue. Early diagnosis and treatment with medication are crucial. See a doctor immediately if you suspect malaria.",1,Prompt treatment with antimalarial medications is crucial. Different types of malaria require specific medications. Seek immediate medical attention if you suspect malaria.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Chicken pox,"['itching', 'skin_rash', 'fatigue', 'high_fever', 'loss_of_appetite', 'lymph_nodes']","Chickenpox is a highly contagious disease caused by the varicella-zoster virus (VZV). It can cause an itchy, blister-like rash among other symptoms. The rash first appears on the chest, back, and face, and then spreads over the entire body.",0,"Chickenpox usually resolves on its own within 5-7 days. Treatment focuses on relieving symptoms and preventing complications. Use calamine lotion to relieve itching, keep nails trimmed to prevent itching and wear loose fitting clothes.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Dengue,"['skin_rash', 'chills', 'muscle_pain', 'vomiting', 'high_fever', 'headache', 'pain_behind_the_eyes']","Dengue (break-bone fever) is a viral infection that spreads from mosquitoes to people. It is more common in tropical and subtropical climates. Most people who get dengue will not have symptoms. But for those who do, the most common symptoms are high fever, headache, body aches, nausea, and rash.",0,There is no specific treatment for dengue. The focus is on treating pain symptoms. Most cases of dengue fever can be treated at home with pain medicine. Acetaminophen (paracetamol) is often used to control pain.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Typhoid,"['fatigue', 'high_fever', 'headache', 'nausea', 'constipation', 'diarrhoea', 'cough']","Typhoid fever is a bacterial infection that can spread throughout the body, affecting many organs. Without prompt treatment, it can cause serious complications and can be fatal. It's caused by a bacterium called Salmonella typhi, which is related to the bacteria that cause salmonella food poisoning.",1,"Typhoid fever requires prompt treatment with antibiotics. If typhoid fever is diagnosed early, the infection is likely to be mild and can usually be treated at home with a 7- to 14-day course of antibiotic tablets.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hepatitis A,"['vomiting', 'yellowing_skin', 'dark_urine', 'loss_of_appetite', 'diarrhoea', 'mild_fever', 'yellowing_of_eyes']",Hepatitis A is an inflammation of the liver that can cause mild to severe illness. The hepatitis A virus (HAV) is transmitted through ingestion of contaminated food and water or through direct contact with an infectious person. Almost everyone recovers fully from hepatitis A with a lifelong immunity,0,There is no specific treatment for acute hepatitis B. Chronic hepatitis B can be treated with medicines. Care for acute hepatitis B should focus on making the person comfortable. They should eat a healthy diet and drink plenty of liquids to prevent dehydration from vomiting and diarrhoea.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1
Hepatitis D,"['joint_pain', 'vomiting', 'fatigue', 'yellowing_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']","Hepatitis D, also known as hepatitis, is a liver infection caused by the hepatitis D virus (HDV). Hepatitis D only occurs in people who are also infected with the hepatitis B virus",1,"Doctors may treat chronic hepatitis D with medicines called interferons, such as peginterferon alfa-2a link (Pegasys). Researchers are studying new treatments for hepatitis D. In addition, medicines for hepatitis B may be needed.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Hepatitis E,"['joint_pain', 'vomiting', 'fatigue', 'high_fever', 'yellowing_skin', 'dark_urine', 'nausea', 'loss_of_appetite', 'abdominal_pain']","Hepatitis E is an inflammation of the liver caused by infection with the hepatitis E virus (HEV). Every year there are an estimated 20 million HEV infections worldwide, leading to an estimated 3.3 million symptomatic cases of hepatitis E.",0,"Most people with hepatitis E recover completely without treatment. Although self-limiting, hospitalization is generally not required. Avoid unnecessary medication that can affect liver function, like paracetomol or acetaminophen.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Alcoholic hepatitis,"['vomiting', 'yellowing_skin', 'abdominal_pain', 'swelling_of_stomach', 'bloated_abdomen', 'history_of_alcohol_consumption']","Hepatitis is inflammation of the liver that leads to liver cell damage and cell death. The liver breaks down alcohol and if, over time, you drink more alcohol than the liver can process, it can become seriously damaged.",1,"Despite there being no cure, Alcoholic Hepatitis treatment includes easing the symptoms and keeping the disease from getting worse. Refrain from alcohol consumption, special diets or in severe cases a liver transplant.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
Tuberculosis,"['weight_loss', 'high_fever', 'breathlessness', 'sweating', 'mild_fever', 'yellowing_of_eyes', 'lymph_nodes', 'mucous']","Tuberculosis (TB) is a serious illness that mainly affects the lungs. The germs that cause tuberculosis are a type of bacteria. Tuberculosis can spread when a person with the illness coughs, sneezes or sings. This can put tiny droplets with the germs into the air.",1,"The main treatment for tuberculosis (TB) is to take antibiotics for at least 6 months. If TB has spread to your brain, spinal cord or the area around your heart, you may also need to take steroid medicine for a few weeks.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0
Common Cold,"['sneezing', 'fatigue', 'cough', 'headache', 'lymph_nodes', 'mucous', 'throat_irritation', 'runny_nose', 'congestion']","The common cold is an illness affecting your nose and throat. Most often, it's harmless, but it might not feel that way.",0,"There is no necessary treatment for the common cold, just try to ease your symptoms to allow your body to heal quicker. Stay hydrated, get rest and sooth a sore throat with honey or lozenges.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Pneumonia,"['chills', 'high_fever', 'breathlessness', 'sweating', 'mucous', 'chest_pain', 'fast_heart_rate', 'coughing_up_blood']","Pneumonia is inflammation of the lungs, usually caused by an infection. Most people get better in 2 to 4 weeks, but babies, older people, and people with heart or lung conditions are at risk of getting seriously ill and may need treatment in hospital.",1,"Mild pneumonia can usually be treated at home with rest, antibiotics and by drinking plenty of fluids. More severe cases may need hospital treatment. ",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hemmorhoids,"['constipation', 'pain_in anus', 'bloody_stool', 'irritation_in_anus']","Hemorrhoids (HEM-uh-roids), also called piles, are swollen veins in the anus and lower rectum. Hemorrhoids are similar to varicose veins. Hemorrhoids can develop inside the rectum, called internal hemorrhoids and make passing stool painful.",0,"For mild cases, home remedies such as a high-fiber diet and hemorrhoid cream will be sufficient. In severe cases, contact your GP and see if a removal surgery is for you.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Heart attack,"['vomiting', 'breathlessness', 'sweating', 'chest_pain', ' shoulder_pain', ' sweating', 'fatigue', 'heartburn']",A heart attack is a serious condition where the supply of blood to the heart is suddenly blocked. It needs to be treated as quickly as possible.,1,"Emergency intervention is required immediately. In hospital, a range of medications, including blood thinning or clost buster, like aspirin, thrombolytics, and pain relievers are used.",0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
Varicose veins,"['cramps', 'bruising', 'obesity', 'swollen_legs', 'swollen_blood_vessels', 'veins_on_calf']"," These are enlarged veins that bulge just beneath the skin's surface, often in the legs. They occur when valves in the veins weaken, causing blood to pool instead of flowing back to the heart. Symptoms include aching, tiredness, and swelling in the legs. Treatments aim to improve circulation and appearance, involving compression stockings, sclerotherapy (injections), or surgery.",0,Compression stockings improve circulation and reduce swelling. Sclerotherapy (injections) or laser treatment can close small varicose veins. Surgery might be needed for larger veins.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
Hypothyroidism,"['weight_gain', 'cold_hands_and_feets', 'mood_swings', 'dizziness', 'puffy_face_and_eyes', 'enlarged_thyroid', 'swollen_extremeties']",An underactive thyroid is where your thyroid gland (a small gland in your neck) does not produce enough hormones.,1,Synthetic thyroid hormone medication (levothyroxine) replaces what the body isn't producing. Regular blood tests are needed to monitor hormone levels and adjust medication dosage.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0
Hyperthyroidism,"['weight_loss', ' mood_swings', 'restlessness', 'fast_heart_rate', 'muscle_weakness', 'anxiety']","An overactive thyroid gland that produces too much thyroid hormone. This speeds up metabolism and bodily functions. Symptoms include weight loss, increased heart rate, anxiety, sweating, hand tremors, and bulging eyes. Treatment aims to reduce thyroid hormone production with medication, radioactive iodine, or surgery.",1,"Medications (propylthiouracil, methimazole) can slow down thyroid hormone production. Radioactive iodine therapy or surgery might be used in some cases. Regular blood tests are needed to monitor hormone levels and adjust treatment.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
